Order,Chart,Row,Artist,Album,Date Finished,Primary Genre,Specific Genre,Average Rating,Ratings by Listen,,,,,,,,,,,,,,,
85,1,8,Teenage Fanclub,Bandwagonesque,1/1/2017,Rock,Alternative Rock,N/A,,,,,,,,,,,,,,,,
86,1,8,Ra Ra Riot,Ra Ra Riot,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
87,1,8,Ra Ra Riot,The Rhumb Line,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
88,1,8,Big Black,Songs About Fucking,1/1/2017,Rock,Noise Rock,N/A,,,,,,,,,,,,,,,,
89,1,8,Godspeed You! Black Emperor,Lift Yr Skinny Fist Like Antennas to the Heavens,1/1/2017,Rock,Post Rock,N/A,,,,,,,,,,,,,,,,
90,1,8,American Football,LP1,1/1/2017,Rock,Math Rock,4,4,,,,,,,,,,,,,,,
91,1,8,Carly Rae Jepson,Emotion,1/1/2017,Pop,Synth-Pop/Jazz,9,9,,,,,,,,,,,,,,,
92,1,8,David Bowie,Blackstar,1/1/2017,Rock,Art Rock,9,9,,,,,,,,,,,,,,,
93,1,8,Mac Demarco,Another One,1/1/2017,Rock,Jangle Pop,N/A,,,,,,,,,,,,,,,,
94,1,8,Mac Demarco,Salad Days,1/1/2017,Rock,Lo-fi Rock,N/A,,,,,,,,,,,,,,,,
95,1,8,Blondie,Parallel Lines,1/1/2017,Rock,New Wave,N/A,,,,,,,,,,,,,,,,
96,1,8,Kanye West,808s and Heartbreaks,1/1/2017,Rap,Synth-Pop,6,6,,,,,,,,,,,,,,,
97,1,9,Kanye West,Graduation,1/1/2017,Rap,Hip Hop,6,6,,,,,,,,,,,,,,,
98,1,9,Death Grips,No Love Deep Web,1/1/2017,Rap,Experimental Rap,7,7,,,,,,,,,,,,,,,
99,1,9,The Bravery,The Sun and the Moon,1/1/2017,Rock,Garage Rock,N/A,,,,,,,,,,,,,,,,
100,1,9,Arcade Fire,Reflektor,1/1/2017,Indie,Indie Rock,N/A,,,,,,,,,,,,,,,,
101,1,9,Kendrick Lamar,To Pimp A Butterfly,1/1/2017,Rap,Jazz Rap,N/A,,,,,,,,,,,,,,,,
102,1,9,Mac Demarco,2,1/1/2017,Rock,Jangle Pop,N/A,,,,,,,,,,,,,,,,
103,1,9,In Love With A Ghost,Discography 2015-2016,1/1/2017,Electronic,Vaporwave,N/A,,,,,,,,,,,,,,,,
104,1,9,Weezer,Pinkerton,1/1/2017,Rock,Emo Rock,4,4,,,,,,,,,,,,,,,
105,1,9,Frightened Rabbit,Midnight Organ Fight,1/1/2017,Folk,Indie Folk,N/A,,,,,,,,,,,,,,,,
106,1,9,Home,Odyssey,1/1/2017,Electronic,Vaporwave,8,8,,,,,,,,,,,,,,,
107,1,9,Gorillaz,Plastic Beach,1/1/2017,Hip Hop,Trip Hop,N/A,,,,,,,,,,,,,,,,
108,1,9,Neil Cicierega,Mouth Moods,1/1/2017,Misc,Mashup,7,7,,,,,,,,,,,,,,,
109,1,10,Electric Guest,Plural,1/1/2017,Indie,Indietronica,N/A,,,,,,,,,,,,,,,,
110,1,10,Electric Guest,Mondo,1/1/2017,Indie,Indietronica,N/A,,,,,,,,,,,,,,,,
111,1,10,Airborne Toxic Event,Airborne Toxic Event,1/1/2017,Rock,Indie Rock,7.666666667,6,8,9,,,,,,,,,,,,,
112,1,10,The Beach Boys,Pet Shop Sounds,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
113,1,10,Anderson.Paak,Malibu,1/1/2017,R&B,Neo Soul,N/A,,,,,,,,,,,,,,,,
114,1,10,Breakbot,Still Water,1/1/2017,R&B,Nu-Disco,N/A,,,,,,,,,,,,,,,,
115,1,10,Breakbot,By Your Side,1/1/2017,R&B,Nu-Disco,N/A,,,,,,,,,,,,,,,,
116,1,10,Miles Davis,Kind of Blue,1/1/2017,Jazz,,N/A,,,,,,,,,,,,,,,,
117,1,10,Miles Davis,Blue Moods,1/1/2017,Jazz,,N/A,,,,,,,,,,,,,,,,
118,1,10,Miles Davis,Blue Haze,1/1/2017,Jazz,,N/A,,,,,,,,,,,,,,,,
119,1,10,Miles Davis,Bitches Brew,1/1/2017,Jazz,,N/A,,,,,,,,,,,,,,,,
120,1,10,Kid Cudi,Man on the Moon,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
121,1,11,Daft Punk,Musique Vol. 1 1993-2005,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
122,1,11,Jamiroquai,Dynamite,1/1/2017,Disco,Nu-Disco,N/A,,,,,,,,,,,,,,,,
123,1,11,Jamiroquai,A Funk Odyssey,1/1/2017,Disco,Nu-Disco,N/A,,,,,,,,,,,,,,,,
